frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
178,2736,4096,12,3890280,5,0,0,0,3.400,0.000
179,2736,4096,12,3890280,5,0,0,0,3.400,0.000
180,2736,4096,12,3890280,5,0,0,0,3.400,0.000
181,2736,4096,12,3890280,5,0,0,0,3.400,0.000
182,2736,4096,12,3890280,5,0,0,0,3.400,0.000
183,2736,4096,12,3890280,5,0,0,0,3.400,0.000
184,2736,4096,12,3890280,5,0,0,0,3.400,0.000
185,2736,4096,12,3890280,5,0,0,0,3.400,0.000
186,2736,4096,12,3890280,5,0,0,0,3.400,0.000
187,2736,4096,12,3890280,5,0,0,0,3.400,0.000
188,2736,4096,12,3890280,5,0,0,0,3.400,0.000
189,2736,4096,12,3890280,5,0,0,0,3.400,0.000
190,2736,4096,12,3890280,5,0,0,0,3.400,0.000
191,2736,4096,12,3890280,5,0,0,0,3.400,0.000
192,2736,4096,12,3890280,5,0,0,0,3.400,0.000
193,2736,4096,12,3890280,5,0,0,0,3.400,0.000
194,2736,4096,12,3890280,5,0,0,0,3.400,0.000
195,2736,4096,12,3890280,5,0,0,0,3.400,0.000
196,2736,4096,12,3890280,5,0,0,0,3.400,0.000
197,2736,4096,12,3890280,5,0,0,0,3.400,0.000
198,2736,4096,12,3890280,5,0,0,0,3.400,0.000
199,2736,4096,12,3890280,5,0,0,0,3.400,0.000
200,2736,4096,12,3890280,5,0,0,0,3.400,0.000
201,2736,4096,12,3890280,5,0,0,0,3.400,0.000
202,2736,4096,12,3890280,5,0,0,0,3.400,0.000
203,2736,4096,12,3890280,5,0,0,0,3.400,0.000
204,2736,4096,12,3890280,5,0,0,0,3.400,0.000
205,2736,4096,12,3890280,5,0,0,0,3.400,0.000
206,2736,4096,12,3890280,5,0,0,0,3.400,0.000
207,2736,4096,12,3890280,5,0,0,0,3.400,0.000
208,2736,4096,12,3890280,5,0,0,0,3.400,0.000
209,2736,4096,12,3890280,5,0,0,0,3.400,0.000
210,2736,4096,12,3890280,5,0,0,0,3.400,0.000
211,2736,4096,12,3890280,5,0,0,0,3.400,0.000
212,2736,4096,12,3890280,5,0,0,0,3.400,0.000
213,2736,4096,12,3890280,5,0,0,0,3.400,0.000
214,2736,4096,12,3890280,5,0,0,0,3.400,0.000
215,2736,4096,12,3890280,5,0,0,0,3.400,0.000
216,2736,4096,12,3890280,5,0,0,0,3.400,0.000
217,2736,4096,12,3890280,5,0,0,0,3.400,0.000
218,2736,4096,12,3890280,5,0,0,0,3.400,0.000
219,2736,4096,12,3890280,5,0,0,0,3.400,0.000
220,2736,4096,12,3890280,5,0,0,0,3.400,0.000
221,2736,4096,12,3890280,5,0,0,0,3.400,0.000
222,2736,4096,12,3890280,5,0,0,0,3.400,0.000
223,2736,4096,12,3890280,5,0,0,0,3.400,0.000
224,2736,4096,12,3890280,5,0,0,0,3.400,0.000
225,2736,4096,12,3890280,5,0,0,0,3.400,0.000
226,2736,4096,12,3890280,5,0,0,0,3.400,0.000
227,2736,4096,12,3890280,5,0,0,0,3.400,0.000
228,2736,4096,12,3890280,5,0,0,0,3.400,0.000
229,2736,4096,12,3890280,5,0,0,0,3.400,0.000
230,2736,4096,12,3890280,5,0,0,0,3.400,0.000
231,2736,4096,12,3890280,5,0,0,0,3.400,0.000
232,2736,4096,12,3890280,5,0,0,0,3.400,0.000
233,2736,4096,12,3890280,5,0,0,0,3.400,0.000
234,2736,4096,12,3890280,5,0,0,0,3.400,0.000
235,2736,4096,12,3890280,5,0,0,0,3.400,0.000
236,2736,4096,12,3890280,5,0,0,0,3.400,0.000
