frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
1985,2736,4096,4350,7618116,1207,0,0,0,309.600,0.000
1986,2736,4096,4356,7620666,1209,0,0,0,309.900,0.000
1987,2736,4096,4362,7623216,1211,0,0,0,310.100,0.000
1988,2736,4096,4368,7625766,1213,0,0,0,310.400,0.000
1989,2736,4096,4374,7628316,1215,0,0,0,310.700,0.000
1990,2736,4096,4380,7630866,1217,0,0,0,311.000,0.000
1991,2736,4096,4386,7633416,1219,0,0,0,311.200,0.000
1992,2736,4096,4392,7635966,1221,0,0,0,311.400,0.000
1993,2736,4096,4398,7638516,1223,0,0,0,311.600,0.000
1994,2736,4096,4404,7641066,1225,0,0,0,311.800,0.000
1995,2736,4096,4410,7643616,1227,0,0,0,312.100,0.000
1996,2736,4096,4416,7646166,1229,0,0,0,312.300,0.000
1997,2736,4096,4422,7648716,1231,0,0,0,312.500,0.000
1998,2736,4096,4428,7651266,1233,0,0,0,312.700,0.000
1999,2736,4096,4434,7653816,1235,0,0,0,313.000,0.000
2000,2736,4096,4440,7656366,1237,0,0,0,313.300,0.000
2001,2736,4096,4446,7658916,1239,0,0,0,313.700,0.000
2002,2736,4096,4452,7661466,1241,0,0,0,314.100,0.000
2003,2736,4096,4459,7664016,1243,0,0,0,314.500,0.000
2004,2736,4096,4465,7666566,1245,0,0,0,314.800,0.000
2005,2736,4096,4471,7669116,1247,0,0,0,315.000,0.000
2006,2736,4096,4477,7671666,1249,0,0,0,315.300,0.000
2007,2736,4096,4483,7674216,1251,0,0,0,315.800,0.000
2008,2736,4096,4489,7676766,1253,0,0,0,316.000,0.000
2009,2736,4096,4495,7679316,1255,0,0,0,316.200,0.000
2010,2736,4096,4501,7681866,1257,0,0,0,316.400,0.000
2011,2736,4096,4507,7684416,1259,0,0,0,316.700,0.000
2012,2736,4096,4513,7686966,1261,0,0,0,316.900,0.000
2013,2736,4096,4519,7689516,1263,0,0,0,317.300,0.000
2014,2736,4096,4525,7692066,1265,0,0,0,317.600,0.000
2015,2736,4096,4531,7694616,1267,0,0,0,317.900,0.000
2016,2736,4096,4537,7697166,1269,0,0,0,318.300,0.000
2017,2736,4096,4543,7699716,1271,0,0,0,318.600,0.000
