scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2315,3700,199,0,7,7320,fa5171999476382a,1351.300,3.800,10.300,0.400
2316,3701,200,0,7,7320,fa5171999476382a,1352.100,5.600,10.200,0.200
2317,3702,201,0,7,7320,fa5171999476382a,1471.400,5.900,11.800,0.200
2318,3703,202,3,7,19620,e9e4db224e4a5b10,1261.700,4.900,9.700,11.400
2319,3704,203,0,8,8352,e9e4db224e4a5b10,1237.300,3.900,9.600,0.200
2320,3705,204,0,8,8352,e9e4db224e4a5b10,1288.700,5.100,10.500,0.200
2321,3706,205,0,8,8352,e9e4db224e4a5b10,1250.500,4.200,10.300,0.200
2322,3707,206,0,8,8352,e9e4db224e4a5b10,1210.100,3.500,8.400,0.200
2323,3708,207,0,8,8352,e9e4db224e4a5b10,1219.800,3.900,9.000,0.200
2324,3709,208,0,8,8352,e9e4db224e4a5b10,1213.000,3.800,8.300,0.200
2325,3710,209,0,7,7320,e9e4db224e4a5b10,1372.800,5.300,10.900,0.300
2326,3711,210,0,7,7320,e9e4db224e4a5b10,1223.200,3.900,8.800,0.200
2327,3712,211,0,7,7320,e9e4db224e4a5b10,1237.600,4.500,7.900,0.200
2328,3713,212,0,7,7320,e9e4db224e4a5b10,1341.200,4.500,8.800,0.200
2329,3714,213,1,7,11420,a96667870cff8454,1333.900,4.800,10.000,4.200
2330,3715,214,3,7,19620,194a2f69b747d495,1232.700,7.200,9.800,11.500
2331,3716,215,1,7,11420,800a9e27e448a131,1259.600,4.600,9.900,4.100
2332,3717,216,0,7,7320,800a9e27e448a131,1525.700,6.300,11.400,0.300
2333,3718,217,1,7,11420,6a2e66e5b9e230b5,1505.500,7.200,10.300,4.600
2334,3719,218,0,7,7320,6a2e66e5b9e230b5,1445.900,4.600,10.300,0.300
2335,3720,219,1,7,11420,ed8e6e153a6370a1,1219.100,5.000,9.600,4.100
2336,3721,220,0,7,7320,ed8e6e153a6370a1,1336.600,5.300,10.200,0.200
2337,3722,221,4,7,23720,c41288041d206efb,1249.900,5.300,11.800,15.400
2338,3723,222,0,7,7320,c41288041d206efb,1208.900,3.500,8.000,0.200
