run,frame,source_us,assembly_us,hash_us,materials_us,snapshot_us,depth_tests,depth_verified,depth_skipped
written-nogl3,3677,949.200,1138.600,9.500,47.300,0.300,0,0,0
written-nogl3,3678,1148.600,1167.000,12.400,48.300,0.400,0,0,0
written-nogl3,3679,952.400,1213.900,10.700,48.200,0.300,0,0,0
written-nogl3,3680,946.900,1116.900,9.800,44.300,0.300,0,0,0
written-nogl3,3681,959.700,1132.900,0.300,47.600,0.400,0,0,0
written-nogl3,3682,938.700,1143.600,0.300,49.700,0.400,0,0,0
written-nogl3,3683,952.700,1126.900,8.500,49.500,1.300,0,0,0
written-nogl3,3684,1008.900,1213.600,8.500,47.500,0.400,0,0,0
written-nogl3,3685,1053.100,1163.000,11.600,50.900,0.400,0,0,0
written-nogl3,3686,956.200,1284.300,10.800,49.600,0.400,0,0,0
written-nogl3,3687,931.500,1151.400,10.500,46.500,0.400,0,0,0
written-nogl3,3688,956.000,1103.800,10.400,45.700,0.600,0,0,0
written-nogl3,3689,935.600,1121.300,10.400,59.100,0.200,0,0,0
written-nogl3,3690,975.500,1136.100,10.800,46.900,0.400,0,0,0
written-nogl3,3691,1002.800,1163.200,10.800,45.400,0.500,0,0,0
written-nogl3,3692,961.700,1102.600,7.100,46.000,0.400,0,0,0
written-nogl3,3693,951.400,1110.100,7.700,45.400,0.300,0,0,0
written-nogl3,3694,978.600,1147.800,8.200,46.500,0.200,0,0,0
written-nogl3,3695,959.600,1106.500,8.400,45.900,0.300,0,0,0
written-nogl3,3696,1141.500,1146.400,8.500,52.900,0.400,0,0,0
written-nogl3,3697,995.200,1127.500,8.500,52.500,0.400,0,0,0
written-nogl3,3698,962.500,1112.500,8.500,47.500,0.400,0,0,0
written-nogl3,3699,948.300,1151.200,8.400,48.200,0.400,0,0,0
written-nogl3,3700,951.900,1087.100,8.500,46.600,0.400,0,0,0
written-nogl3,3701,968.000,1115.300,8.500,62.100,0.400,0,0,0
written-nogl3,3702,947.000,1111.500,8.500,47.000,0.300,0,0,0
written-nogl3,3703,1063.500,1177.900,8.100,51.200,0.300,0,0,0
written-nogl3,3704,960.100,1111.800,7.200,48.100,0.600,0,0,0
written-nogl3,3705,990.700,1128.800,10.500,49.500,0.700,0,0,0
written-nogl3,3706,937.800,1138.600,9.800,120.600,0.800,0,0,0
written-nogl3,3707,954.700,1102.400,9.100,63.800,0.500,0,0,0
written-nogl3,3708,970.800,1217.500,12.400,46.700,0.500,0,0,0
written-nogl3,3709,958.700,1101.600,12.500,44.900,0.400,0,0,0
written-nogl3,3710,1007.300,1131.200,12.400,50.100,0.500,0,0,0
written-nogl3,3711,945.900,888.700,12.000,46.000,0.300,0,0,0
written-nogl3,3712,976.100,918.500,12.000,47.500,0.300,0,0,0
written-nogl3,3714,1026.900,882.700,12.000,47.100,0.500,0,0,0
written-nogl3,3715,1004.900,890.800,12.000,48.000,0.500,0,0,0
written-nogl3,3716,958.600,889.800,12.000,45.000,0.400,0,0,0
written-nogl3,3717,1005.000,905.500,12.000,49.800,0.400,0,0,0
written-nogl3,3718,965.900,919.300,12.500,54.100,0.500,0,0,0
written-nogl3,3719,991.600,891.900,4.200,53.900,0.400,0,0,0
written-nogl3,3720,972.500,901.900,6.500,51.800,0.500,0,0,0
written-nogl3,3721,1013.000,902.700,8.400,73.700,0.500,0,0,0
written-nogl3,3722,959.400,884.600,0.200,49.700,0.900,0,0,0
written-nogl3,3723,964.900,914.000,9.600,56.400,0.900,0,0,0
written-nogl3,3724,959.800,964.200,10.400,57.300,0.500,0,0,0
written-nogl3,3725,990.400,914.600,12.000,49.100,0.300,0,0,0
written-nogl3,3726,964.200,919.800,14.400,46.600,0.300,0,0,0
written-nogl3,3727,946.800,924.200,9.100,45.800,0.300,0,0,0
written-nogl3,3728,953.100,920.200,10.000,46.800,0.400,0,0,0
written-nogl3,3729,996.700,941.200,18.300,44.900,0.400,0,0,0
written-nogl3,3730,980.800,963.700,13.600,48.900,0.600,0,0,0
written-nogl3,3731,998.500,970.600,1.600,60.500,0.600,0,0,0
written-nogl3,3732,990.700,1092.600,20.300,50.600,0.400,0,0,0
written-nogl3,3733,965.500,978.100,16.200,51.800,0.300,0,0,0
written-nogl3,3734,957.800,974.100,9.500,50.800,0.600,0,0,0
written-nogl3,3735,945.800,964.500,13.700,52.500,0.400,0,0,0
written-nogl3,3736,970.700,965.400,14.600,50.200,0.400,0,0,0
written-nogl3,3737,967.700,984.100,21.500,49.000,0.300,0,0,0
written-nogl3,3738,940.000,1021.100,8.400,49.500,0.900,0,0,0
written-nogl3,3739,1020.900,988.300,12.400,47.300,0.300,0,0,0
written-nogl3,3740,955.800,1007.300,12.300,51.500,0.500,0,0,0
written-nogl3,3741,1234.700,1113.100,13.800,49.800,0.300,0,0,0
written-nogl3,3742,1014.300,1055.700,18.900,52.500,0.300,0,0,0
written-nogl3,3743,931.000,1083.200,16.400,49.900,0.500,0,0,0
written-nogl3,3744,965.100,1059.000,23.000,46.500,0.400,0,0,0
written-nogl3,3745,948.100,1024.600,24.500,47.100,0.400,0,0,0
written-nogl3,3746,952.200,1023.000,23.500,44.800,0.400,0,0,0
written-nogl3,3747,956.700,1031.100,16.600,48.000,0.300,0,0,0
written-nogl3,3748,956.400,1031.000,20.400,50.500,0.400,0,0,0
written-nogl3,3749,951.400,1067.000,25.900,46.700,0.400,0,0,0
written-nogl3,3750,1275.700,1128.200,31.400,48.600,0.400,0,0,0
written-nogl3,3751,967.200,1072.300,33.700,50.100,0.400,0,0,0
written-nogl3,3752,945.300,1076.700,31.300,49.700,0.500,0,0,0
written-nogl3,3753,1037.600,1090.700,29.700,51.900,0.400,0,0,0
written-nogl3,3754,981.000,1177.000,22.200,47.800,0.400,0,0,0
written-nogl3,3755,983.500,1141.700,22.800,49.000,0.500,0,0,0
written-nogl3,3756,965.300,1160.000,15.800,47.000,0.400,0,0,0
written-nogl3,3757,995.700,1094.800,73.300,49.600,0.400,0,0,0
written-nogl3,3758,940.600,1119.600,19.400,50.400,0.500,0,0,0
written-nogl3,3759,1027.900,1112.300,31.300,45.900,0.400,0,0,0
written-nogl3,3760,1031.900,1213.900,9.400,57.400,0.500,0,0,0
written-nogl3,3761,959.900,1141.500,22.000,49.300,0.300,0,0,0
written-nogl3,3762,1042.400,1171.200,18.200,48.600,0.400,0,0,0
written-nogl3,3763,945.800,1145.200,29.200,48.400,0.400,0,0,0
written-nogl3,3764,943.000,1171.500,24.100,45.400,0.800,0,0,0
written-nogl3,3765,961.600,1154.500,12.700,50.000,0.800,0,0,0
written-nogl3,3766,1065.500,1175.700,10.900,52.100,0.300,0,0,0
written-nogl3,3767,981.500,1192.800,17.300,52.100,0.500,0,0,0
written-nogl3,3768,1241.900,1308.000,10.000,50.500,0.300,0,0,0
written-nogl3,3769,950.100,1176.000,10.200,44.900,0.200,0,0,0
written-nogl3,3770,959.600,1184.700,10.000,45.600,0.400,0,0,0
written-nogl3,3771,1003.100,1232.000,16.900,55.200,0.400,0,0,0
written-nogl3,3772,1034.200,1480.400,11.700,47.900,0.900,0,0,0
written-nogl3,3773,945.000,1291.100,8.900,49.900,0.500,0,0,0
written-nogl3,3774,1027.200,1258.100,16.000,50.400,0.900,0,0,0
written-nogl3,3775,954.300,1220.400,12.900,46.300,0.700,0,0,0
written-nogl3,3776,1009.500,1274.500,13.600,55.000,0.500,0,0,0
written-nogl3,3777,1007.100,1239.400,13.800,47.600,0.400,0,0,0
written-nogl3,3778,961.600,1385.100,17.300,49.700,0.800,0,0,0
written-nogl3,3779,1036.100,1357.800,11.300,50.900,0.300,0,0,0
written-nogl3,3780,1010.400,1258.700,10.400,47.600,0.800,0,0,0
written-nogl3,3781,957.600,1279.400,19.500,49.700,0.300,0,0,0
written-nogl3,3782,998.900,1312.900,20.800,50.400,0.600,0,0,0
written-nogl3,3783,974.800,1299.400,14.200,51.900,0.300,0,0,0
written-nogl3,3784,965.000,1333.000,7.800,55.600,0.600,0,0,0
written-nogl3,3785,1039.500,1354.300,17.700,64.200,0.400,0,0,0
written-nogl3,3786,964.800,1306.900,9.700,52.800,1.000,0,0,0
written-nogl3,3787,945.300,1289.800,3.400,45.100,0.300,0,0,0
written-nogl3,3788,987.500,1298.600,14.000,48.100,0.800,0,0,0
written-nogl3,3789,933.600,1330.200,20.400,49.500,0.600,0,0,0
written-nogl3,3790,945.000,1287.500,4.500,45.900,0.400,0,0,0
written-nogl3,3791,967.300,1295.000,5.300,46.900,0.400,0,0,0
written-nogl3,3792,946.200,1359.100,17.000,49.600,0.500,0,0,0
written-nogl3,3793,990.100,1304.200,16.400,45.700,0.500,0,0,0
written-nogl3,3794,968.500,1373.700,2.700,47.000,0.600,0,0,0
written-nogl3,3795,1033.100,1357.500,10.300,45.000,0.300,0,0,0
written-nogl3,3796,943.700,1367.800,13.700,107.900,0.300,0,0,0
written-nogl3,3797,938.300,1380.100,8.900,48.100,0.400,0,0,0
written-nogl3,3798,982.200,1410.900,4.000,48.800,0.500,0,0,0
written-nogl3,3800,946.400,1436.300,20.600,49.700,0.400,0,0,0
written-nogl3,3801,1063.900,1407.200,3.100,44.800,1.000,0,0,0
written-nogl3,3802,980.900,1495.000,1.400,44.900,0.200,0,0,0
written-nogl3,3803,953.700,1410.400,13.300,45.200,0.300,0,0,0
written-nogl3,3804,961.000,1391.900,22.600,47.900,0.300,0,0,0
written-nogl3,3805,1019.100,1448.200,30.100,51.500,0.300,0,0,0
written-nogl3,3807,964.100,1480.100,26.400,50.900,0.400,0,0,0
written-nogl3,3808,1012.400,1429.800,30.300,49.900,0.400,0,0,0
written-nogl3,3809,951.600,1492.900,48.100,52.500,0.400,0,0,0
written-nogl3,3810,1012.300,1449.800,47.800,49.900,0.300,0,0,0
written-nogl3,3811,985.100,1517.100,62.000,51.200,0.400,0,0,0
written-nogl3,3812,1023.600,1497.400,48.500,51.200,0.300,0,0,0
written-nogl3,3813,1024.200,1606.600,46.300,51.400,0.300,0,0,0
written-nogl3,3814,1038.900,1607.800,38.400,54.400,0.300,0,0,0
written-nogl3,3815,962.800,1495.700,39.800,54.100,0.300,0,0,0
written-nogl3,3816,988.700,1588.300,48.700,57.600,0.500,0,0,0
written-nogl3,3817,972.200,1529.100,51.700,53.800,0.400,0,0,0
written-nogl3,3818,944.100,1500.600,59.300,52.500,0.300,0,0,0
written-nogl3,3819,1059.200,1583.900,63.500,57.400,0.500,0,0,0
written-nogl3,3820,946.100,1681.100,74.700,53.900,0.400,0,0,0
written-nogl3,3821,1018.700,1628.500,77.500,57.200,0.300,0,0,0
written-nogl3,3822,940.800,1580.100,94.700,54.600,1.000,0,0,0
written-nogl3,3823,948.500,1566.300,96.100,50.400,0.300,0,0,0
written-nogl3,3824,948.500,1580.500,96.500,50.800,0.300,0,0,0
written-nogl3,3825,947.400,1651.600,107.900,56.800,0.400,0,0,0
written-nogl3,3826,968.700,1600.500,113.700,53.300,0.400,0,0,0
written-nogl3,3827,940.500,1613.800,121.900,56.100,0.900,0,0,0
written-nogl3,3828,973.800,1670.700,128.400,62.100,0.400,0,0,0
written-nogl3,3829,957.500,1725.900,190.500,59.800,1.000,0,0,0
written-nogl3,3830,977.200,1692.600,162.600,55.400,0.500,0,0,0
